指标,是否已经接入,备注
终端总数,已接入,
峰值流用户数,未接入,正在开发中
分属地有线接入比,未接入,正在开发中
EPG响应成功率,已接入,
EPG响应时长,已接入,
互联网电视节目播放成功率,已接入,提供的是原始数据需要使用方公式计算
互联网电视卡顿时长占比,已接入,提供的是原始数据需要使用方公式计算
