hxwsj@gmshmas3o> eaw MSC50;
<!collect IOT_subscriber!
<!display MSC's MT MOBILE SUBSCRIBER!
<ioexp;
EXCHANGE IDENTITY DATA

IDENTITY
SHG50CN79B/KD/04/05/75

END


<mgsvp;
MT MOBILE SUBSCRIBER SURVEY

HLRADDR             NSUB       NSUBA      NSUBOCSI
4-861888843000           73         69          2
4-8618436047000          83         81         14
4-212661000746            1          1          1
4-8618338455000         109        102         12
4-8613809560000         453        428        199
4-8618838575000         204        198         40
4-861390966000          531        511        241
4-8615705447474         109         94         47
4-8613406997474         364        354        182
4-8618481380004           9          8          0
4-8618860336000         318        307         56
4-8615859454278          12         11          4
4-8615938050000         521        498         60
4-861878927000          162        151         70
4-8615938240000         319        307         38
4-8618436049000          66         63          4
4-861363705000          607        589        259
4-861390916000          191        178        104
4-8615903400003          30         28         14
4-8615284150000         184        173         36
4-8618300940000         207        189        147
4-861842110000          845        788          0
4-861516109000          550        524        387
4-861515544000          352        343        160
4-8613444350333          84         77         23
4-8613564830           3103       2945        381
4-861388350000          127        119         40
4-861840769000           86         79         84
4-8618838577000         202        191         33
4-8618264607474         123        108         64
4-8613409560000         140        115         62
4-861399600000          102         96         44
4-8613810210001          55         49          4
4-861396160000          284        255        132
4-861471511000          138        128        106
4-861839059000           66         62         36
4-8613661210003          82         72          8
4-861843464000           18         12          7
4-861577570000          178        175         62
4-861820571000          440        408        174
4-861390438001           14         12          8
4-8618860330000          47         46          9
4-861510230000          156        150         69
4-861471447000           83         74         74
4-8615772890000          76         72         34
4-886936000146           69         55         68
4-861571897000          173        155         62
4-861585710000          435        407        246
4-8613401760000         855        819        613
4-8613770460000         555        523        389
4-8618804130000          85         80         22
4-8615859454273          18         16          6
4-886932489500           56         50         56
4-861396683000          516        497        369
4-861592260000          137        133         39
4-8613515160000         339        324        215
4-8615059440552          33         32         10
4-861577105000          118        114         62
4-8615102130           2170       2052        250
4-8615938440000         351        336         27
4-8618483000002          19         18          4
4-861385770000          235        213        167
4-861880761000           55         52         55
4-861887142000          243        226         69
4-8618408340000         103         97         18
4-861506160000          715        679        494
4-861387910000          238        228        115
4-861837184000          236        225        145
4-861820756000          168        158         40
4-33689002861             1          0          1
4-8615761540000          45         43         31
4-8613783240000         108        103         31
4-8618766677474         141        133         56
4-8615705377474         211        199         94
4-33660005100             8          3          8
4-861515679000          478        468        279
4-861585586000          752        724        497
4-8618308450000         239        225         82
4-861395710000          486        456        269
4-861360731000          145        129         71
4-861391979000          305        284        148
4-8618338454000         117        113         17
4-861882461000          145        117         55
4-8618398370000         169        166         48
4-861471679000           92         86         31
4-861387940000          317        301        111
4-919823000007            9          4          9
4-8618838578000         230        222         29
4-8613569440000         164        155         26
4-639180009006            8          8          0
4-861390554000          325        310        178
4-861380938000          521        503        182
4-861840668000           52         45         52
4-34656000116             1          1          1
4-861357914000           40         36          0
4-4366401164              1          1          0
4-8615103730000         239        226         28
4-861477185000          223        211        111
4-861370913000          301        288        180
4-8613444350437          66         57         42
4-8613444350133          38         31         22
4-861380932000          100         94         54
4-8618398340000          26         26          9
4-8614786180000         183        166        121
4-38670000142             1          1          1
4-861843492000          171        161         94
4-861390550000          437        426        268
4-861573487000           70         65         33
4-8615853517474          79         76         31
4-861390743000           98         94         64
4-8613444350332          78         68         24
4-861577102000          192        177         54
4-8613782900000         319        310         55
4-861390566000          288        275        134
4-861361101000          415        376         42
4-861821159000          111         79         76
4-8190542112802           2          1          0
4-861588620000           54         47         21
4-861390552000          499        478        365
4-861393140000           44         44          9
4-861882460000          166        140         99
4-8618865417474         121        112         44
4-852645021000110        67         46         67
4-8613755790000         380        366        170
4-447953700247            1          1          1
4-8615106110000         347        333        115
4-861470350000           89         86         36
4-8613444350335          80         74         20
4-8615194860000         328        299         39
4-8613840490000         382        351         36
4-861390436000           46         45         11
4-886935420646           10          8         10
4-861514420006           26         25          9
4-8613444350132          39         33         26
4-9595930011             14          9         14
4-8615262940000         214        198        127
4-8615205337474          93         88         38
4-8613444350434          72         61         54
4-8614705377474         316        304        135
4-8621313910000         118        117          0
4-861471513000          168        129        114
4-861471678000          129        115         57
4-6281107101              1          0          0
4-8613444350433          67         59         52
4-8615772690000         113        107         76
4-79188399992             2          1          2
4-861399340000          140        134         46
4-861390930000           61         59         23
4-8614708000000         240        220         46
4-861881290000           83         75         10
4-861827225000          255        241        152
4-861370910000          258        247        141
4-861580438005            9          9          2
4-8618483300000          86         82         29
4-861384420001            7          7          4
4-33689002868             1          0          1
4-8613949740000         331        316        113
4-861885700000          198        186        125
4-8613444350134          46         38         33
4-8613467170005          17         17         14
4-8618338456000         122        115         20
4-861471510000           73         66         48
4-861593064000           57         55          5
4-861476600000           69         53         68
4-46708000000             2          2          0
4-8613611310000          50         40          3
4-8615059440421          19         18          3
4-861471676000          171        135         68
4-8613810210000          58         56          7
4-8613782748000          35         29          2
4-861362566000          265        252        119
4-8618382800000         128        125         33
4-8613589657474         108        102         41
4-861390564000          800        777        496
4-8615208400000         266        250         49
4-8615859454262          14         12          9
4-8618838574000         249        239         37
4-8613898650000         155        135         61
4-8618436040000          65         63         11
4-861577103000          244        226         66
4-861390825000          103         98         44
4-8613933710000         193        164         55
4-861585637000          181        173         99
4-8618366547474         129        124         50
4-861585579000          369        353        252
4-861571020000          223        194         11
4-8615761260000         132        130        103
4-861387310000          147        116         59
4-8615704270000          38         36         14
4-96596909202             1          1          0
4-8613910910001          65         55          4
4-861887895000           85         77         11
4-861471677000          124        108         60
4-9477000196             12          6         12
4-8615203400005          17         17         13
4-8615059440357          24         20          9
4-639180009011            2          1          1
4-861390563000          385        370        236
4-861526120000          284        269        215
4-861388800000          136        121         25
4-5294100029010           1          1          0
4-861390553000          463        439        266
4-8613467170004          14         13         11
4-861500632000            1          1          1
4-8613444350140          32         31         20
4-861884310000          153        141         59
4-861390451000          227        214         32
