hxwsj@gmshmas3o> eaw MSC50;
<!collect IOT_subscriber!
<!display MSC's MT MOBILE SUBSCRIBER!
<ioexp;
EXCHANGE IDENTITY DATA

IDENTITY
SHG50CN79B/KD/04/05/75

END


<mgsvp;
MT MOBILE SUBSCRIBER SURVEY

HLRADDR             NSUB       NSUBA      NSUBOCSI
4-852645021000110         23         17        23
4-8615059440375           31         29        18
4-8618283680000            6          6         1
4-491700600137             1          0         0
4-447953700249             1          1         1
4-861840663000            34         32        33
4-8614780340000           58         57        13
4-46705003205              1          1         0
4-14054729215              1          1         1
4-8613444350141           18         15        13
4-886936000037             1          1         1
4-491700600109             3          0         0
4-861842053000            31         31        27
4-13603399751             26         19         0
4-8613782748000           26         23         4
4-79145519001              1          1         0
4-32495007640              2          2         0
4-8615859450193           14         12         8
4-8615704290000           65         61        30
4-861394770000            43         38        20
4-60120000273              6          4         6
4-8618860330000           43         42        10
4-61411999020             14         10         0
4-8618483000006           16         16        10
4-8615059440390           29         26        18
4-8615702810008           28         25         3
4-12085978981              5          4         0
4-861880767000            31         29        30
4-61418703300             25         23        17
4-8613999710000           22         21         0
4-16363848259              3          2         0
4-15875800120              1          1         0
4-861573134000            22         19         5
4-447797707015             3          0         0
4-8618481380009           11         10         3
4-6598541018              45         40        10
4-819066519766             5          4         0
4-861390434005             7          7         2
4-8618483000003           20         19         9
4-861390941000            15         15         6
4-8615859454278           21         21         6
4-8615903400006           31         31        19
4-861514420006            16         16         4
4-13603399750             26          9         0
4-861390912000            58         58        21
4-861390878000            80         76        23
4-8615702810002           15         15         3
4-6598541016              26         24         4
4-65902479900018           1          1         0
4-861471530000            40         35        38
4-8613579530000           17         16         2
4-48601000065              1          0         0
4-8613459140374           25         23         9
4-861840668000            65         59        65
4-14054729351              3          3         3
4-421905000520             1          1         0
4-491700600103             1          0         0
4-886935420647             4          3         4
4-8615059440379           32         26        14
4-447802000259             1          1         1
4-861390438002            13         12         8
4-8615034520006           18         18         8
4-861390434006             6          6         1
4-861580438005            22         21         7
4-861588620000            49         46        14
4-8613467170003           21         20        13
4-8615035320007            5          5         4
4-491700600159             1          0         0
4-861573130000            36         33        10
4-385910925                2          2         0
4-861390438004            20         18         9
4-8613467170004           15         15         9
4-886935420646             6          6         6
4-861394750000            47         44        21
4-861580438002            11         10         4
4-8613444350342            8          6         6
4-821029191813            31         19        31
4-8615859450147           17         17         4
4-316540791020            42         14         0
4-861390888000            37         33        12
4-819066519762             9          7         0
4-8190542119800            3          3         0
4-8615059440552           19         18         6
4-8618453517474           53         46        13
4-8618481380002           13         11         4
4-821196580000            36         25        35
4-4531307401               1          1         0
4-861384420003            22         19         5
4-8190542113810            5          3         0
4-8615203400006           25         24        17
4-491700600128             1          1         0
4-8613546790003            3          2         0
4-861384420008             2          2         0
4-861827248000            18         17         3
4-447953700234             1          1         1
4-861390911000            45         43        30
4-14054729228              2          2         2
4-861510991000            58         55         7
4-861384420009             3          2         0
4-861887794000            22         21         2
4-60120000274              3          0         3
4-861887786000            22         21         1
4-14054729368              3          3         3
4-8613444350242           24         17        14
4-316540941102             2          2         2
4-358508771121             5          5         0
4-8618860331000           44         43         7
4-85263347750              5          1         5
4-12404492593              2          1         0
4-8615034520004           11         10         3
4-861390438003            13         13         4
4-491760003023             1          0         0
4-8615702810009           12         11         1
4-316540967040             6          3         0
4-8613515200000           16         16        14
4-13603399158              2          2         0
4-8613546790006            7          7         2
4-491700600119             1          0         0
4-79126313333              2          1         1
4-8613467170001           26         26        22
4-8615034640001            7          7         3
4-447953700230             1          1         1
4-36709996244              2          2         0
4-8190542119805            1          0         0
4-8613754600000           28         21        22
4-14054729362              3          3         3
4-393358817813             1          1         1
4-358402001002             1          1         0
4-861471573000            27         25        25
4-861394670000            35         33        11
4-861510434000             7          7         1
4-861514420007            19         17         3
4-8618483000001           10         10         2
4-491700600138             1          0         0
4-8615034520003           11         11         8
4-8615034520005            7          7         6
4-447802000233             2          0         2
4-14054729216              1          1         1
4-861477815000             6          6         5
4-8615903400003           31         29        20
4-8615034520007           13         13         7
4-639180009005             7          5         3
4-12085978982              9          8         0
4-8618483000008           14         13         7
4-8613720930006           11         10         5
4-14054729349              2          2         2
4-16363848244              3          3         0
4-886973848921             3          2         3
4-8613720930004            6          6         3
4-861390438005            12         10         6
4-971504063293             4          3         4
4-316540940426             1          1         0
4-14054729334              2          2         2
4-3725509930               1          0         0
4-77010001105              1          1         1
4-8618481380008            9          9         0
4-14054729240              2          2         2
4-336110000331411          1          1         0
4-491700600118             1          0         0
4-41789310343              1          1         0
4-8618481380004            8          8         2
4-861880305000            30         27         4
4-819066519768             6          5         0
4-819066519758             5          5         0
4-8618481380005            9          9         4
4-14054729234              3          3         3
4-66923013502              2          0         2
4-905429800697             1          1         0
4-601200013100080          1          0         1
4-8615034640003            3          3         1
4-447953700251             1          1         1
4-8615702820001           15         15         8
4-16363848249              3          3         0
4-959974610124             1          1         1
4-14054729237              1          1         1
4-8613546790004            9          7         1
4-316540941239             1          0         1
4-79039009978              1          0         0
4-33689002660             10          3        10
4-14054729339              1          1         1
4-861356519000            17         17         1
4-381651300000             1          1         0
4-861510483000             3          3         2
4-639180008986             6          6         2
4-861514420005            16         15         2
4-14054729324              1          1         1
4-861520994000            12         11         0
4-79139860003              2          2         1
4-8615059440386           35         34        18
4-491700600112             1          0         0
4-447953700235             2          2         2
4-861398870000             3          3         2
4-8613444350343            3          3         1
4-2348030095010            1          1         1
4-37129899920              1          0         0
4-861520993000            12         12         1
4-639180009007             2          2         0
4-861580438004            11         11         3
4-861514420002            16         15         4
4-12819659999             15         10        13
4-8190542113819            6          3         0
4-861384420006            12         12         5
4-316530860010             6          2         0
4-861384420001            16         16         8
4-16363848248              1          0         0
4-447802000251             3          3         3
4-16475800122              5          4         0
4-819066519753             2          1         0
4-8190542112805            2          2         0
4-491700600301             1          1         0
4-8615034640005            9          9         8
4-852645021000115         70         37        70
4-861390434007             5          4         2
4-278291089513             1          1         0
4-14054729199              2          2         2
4-8618483000005           17         15         6
4-491700600127             1          1         0
4-66942500139              1          1         1
4-33689002865              2          1         2
4-8615034640007            6          6         4
4-14054729358              3          3         3
4-639180009004             5          5         0
4-34656000137              1          1         0
4-919815053740             3          1         3
4-4790000950               3          2         0
4-8190542114805            6          5         0
4-861390434004             8          8         4
4-79098509988              2          1         2
4-46708000000              4          4         0
4-85290100019003           5          3         5
4-31624000284              1          1         1
4-12404492578              1          0         0
4-861384420007            15         14         5
4-233540002007             1          0         1
4-12404492274              4          4         0
4-447802000248             2          2         0
4-8190542113809            6          6         0
4-233540001007             1          1         1
4-447953700222             2          1         2
4-8621313910000           36         35         0
4-6738100023               1          0         0
4-919820405700             5          4         0
4-8615702810001           19         19         3
4-8615034640006            8          8         5
4-447953700226             1          1         1
4-8615035320003            5          5         2
4-819066519757            16         14         0
4-491720097196             1          0         0
4-5294100057030            1          1         1
4-79167494201              1          1         1
4-8618483000009           20         20         7
4-8615702820008           12         12         3
4-14054729246              2          2         2
4-97254120018              1          0         1
4-8615035320004            3          3         2
4-447953700262             1          0         1
4-14054729236              4          3         4
4-639170000358            20         17         8
4-491700600120             2          0         0
4-8618481380006           11         10         5
4-989350070210             3          2         3
4-60120000270             12          5        11
4-12085978935              5          3         0
4-639180009014             1          0         1
4-393358817516             1          1         1
4-8613720930007            5          5         3
4-8190542116802            2          1         0
4-85290240832              6          3         5
4-819066519752            12         10         0
4-14385800120              4          4         0
4-639180009006             1          1         0
4-8615702810007           19         18         2
4-8613720930005            8          7         4
4-447802000250             3          3         1
4-14054729203              2          2         2
4-79940130021              3          3         3
4-8615034520002           11         11         5
4-14054729316              4          3         4
4-491700600105             3          1         0
4-4792001041               1          1         0
4-6281107108               6          2         0
4-85368008675             36         22        36
4-8618483000007           11          9         3
4-819066519761             7          5         0
4-12085978978              4          2         0
4-8618838571000           30         30         3
4-61415011016              1          0         0
4-886936000146            33         27        33
4-447802000249             3          3         2
4-8613546790005            3          2         1
4-861840259000             1          1         0
4-79052009988              1          0         0
4-79262004558              3          2         0
4-8615035320006            4          4         1
4-447802000231             3          3         3
4-447953700202             1          1         1
4-8613576270000            1          1         0
4-85593000001              3          1         3
4-819066519767             9          8         0
4-819066519756             9          7         0
4-8190542119802            1          1         0
4-447953700201             2          0         0
4-3859812009               1          0         0
4-639180008990             5          4         0
4-8618722300000            2          2         0
4-31624000287              2          2         2
4-316530860030             3          3         0
4-14054729347              4          4         4
4-393916230111             3          2         0
4-8190542114804            4          2         0
4-48501998083              2          1         0
4-491760003012             2          2         1
4-79232510100              1          0         1
4-919823000007             1          1         0
4-4367603034000            1          0         0
4-2348030080020            1          1         1
4-14054729194              4          3         4
4-14054729320              1          0         1
4-886935420651            12         10        12
4-6281107109               6          4         0
4-316540998092             3          1         1
4-447953700273             3          1         3
4-447797707011             4          1         0
4-14054729204              4          4         4
4-447829791034             1          1         0
4-8615903400009            1          1         0
4-447953700204             1          0         1
4-14054729333              1          1         1
4-14054729211              3          1         3
4-905329950000             4          2         4
4-32495005650              3          3         0
4-919892123847             3          3         3
4-393358817024             1          1         1
4-14054729231              3          3         3
4-8615034640002            7          4         3
4-4367603032000            2          2         0
4-13603399159              3          2         0
4-66923011564              3          1         2
4-8615096840000          184        176        60
4-14054729332              2          2         2
4-34609090004              1          1         0
4-5294100056010            2          2         0
4-447953700243             1          1         0
4-8613444350341           11         10         6
4-8613546790002            5          5         3
4-16363848251              4          2         0
4-56982999055              1          0         0
4-861580438006            12         11         4
4-447953700210             1          1         1
4-861390438009             2          2         0
4-639170000359             3          1         2
4-14054729335              1          0         1
4-46707000043              4          3         4
4-639180009010             1          1         0
4-14054729247              4          3         4
4-886932489008             2          2         2
4-12404492590              3          2         0
4-34609190400              1          1         0
4-16363848260              1          0         0
4-97254120017              4          4         2
4-8613546790007            3          3         2
4-14054729315              2          2         2
4-66923011521              2          2         2
4-14054729222              9          8         8
4-8613546790008            1          1         0
4-316540791030             6          1         1
4-6590475003              16         13         0
4-8190542113804            3          2         0
4-85292040071              5          4         5
4-447953700242             1          0         0
4-393358999701             1          1         1
4-19037029904              1          0         0
4-8190542113808            4          4         0
4-8615905370000           91         86        36
4-14054729331              5          5         4
4-861394739000            11         11         7
4-491700600101             2          0         0
4-447802000229             2          2         1
4-14054729243              4          4         4
4-14054729214              3          3         2
4-639180008991             1          1         1
4-3859812010               2          2         0
4-639180009009             3          3         0
4-79033289988              2          2         0
4-886935420649             9          9         9
4-14054729198              2          2         2
4-8613720930008            1          1         1
4-41765900103              5          3         1
4-8190542116807            3          2         0
4-34609090071              1          1         0
4-861390434009             2          2         0
4-2307200996               1          0         1
4-447953700212             1          1         1
4-8618324030000            8          6         0
4-491700600117             2          0         0
4-601200013100023          2          2         2
4-886936000147             4          4         4
4-14047259888              2          1         0
4-905590000236             1          1         1
4-14054729354              2          1         2
4-8190542112806            2          2         0
4-14054729232              2          2         2
4-3094219731               2          2         0
4-8615035320009            1          1         0
4-8190542113800            3          3         0
4-491760003006             3          1         1
4-819066519764             3          3         0
4-420602080962             1          0         0
4-447953700223             1          1         1
4-14054729221              2          2         2
4-886935420616             4          4         4
4-14054729218              3          3         3
4-2348030091030            1          1         1
4-886935420606             4          4         4
4-14054729245              5          5         4
4-393358817005             1          1         1
4-79101399983              1          1         1
4-14054729366              1          1         1
4-8618434741005            1          1         1
4-97254120660             25         20        25
4-14054729210              3          2         3
4-491700600156             1          1         0
4-66923015523              1          0         1
4-34609091004              3          3         0
4-14054729340              2          2         2
4-6281107102               1          1         0
4-79167494202              4          3         2
4-79639741147              1          1         0
4-8190542112801            3          3         0
4-14054729330              2          2         1
4-989110014                3          2         0
4-14054729336              3          3         3
4-14054729327              6          5         6
4-40744009900              1          1         0
4-351960995063             1          1         0
4-51997990933              1          0         0
4-316540998302             1          1         1
4-14054729235              4          3         3
4-14054729224              1          0         1
4-19037029960              1          0         0
4-14054729342              3          2         3
4-491760003024             3          3         2
4-33689002864              1          0         1
4-13123149436              1          0         0
4-491760003022             3          3         3
4-12404492275              1          1         0
4-393492001971             4          2         0
4-14054729223              1          1         1
4-46707990084              1          1         1
4-8613645380000           41         41        21
4-886935420652             9          8         9
4-79147991088              4          4         3
4-447953700266             1          0         1
4-14054729220              2          2         2
4-14054729355              2          2         1
4-12085978980              4          3         0
4-38050000302              2          2         2
4-16363848257              2          2         0
4-14054729227              4          4         4
4-14054729321              2          2         2
4-393492001963             1          1         0
4-639180009003             3          2         1
4-959790000007             3          3         3
4-34607000550              2          0         0
4-919843000025             1          1         1
4-66923012503              2          1         2
4-421949901072             1          0         0
4-14054729323              1          1         1
4-15875800121              2          1         0
4-4540150009               2          2         0
4-34656000125              1          1         1
4-447953700272             2          1         2
4-79025110001              1          0         1
4-255780000176             1          1         0
4-8613546790001            4          4         1
4-8190542113813            8          7         0
4-8615035320005            2          2         1
4-46708000984              2          1         0
4-61415011023              1          1         0
4-919820005714897          1          1         1
4-491760003011             1          1         0
4-447953700233             1          0         1
4-4792001046               1          1         0
4-84980200080              3          3         3
4-491700600160             1          0         0
4-5294100003010            1          1         0
4-639180008985             3          3         1
4-971504063393             2          1         2
4-8613720930002            6          6         5
4-8613467170008            4          4         1
4-8190542114800            3          1         0
4-639180009000             6          6         1
4-85290184005              3          2         3
4-16363848246              1          1         0
4-14054729356              5          5         5
4-85294981704              3          2         3
4-491720096696             1          0         0
4-491720097496             1          0         0
4-14054729359              2          2         2
4-491760003003             1          0         0
4-852645021000116          2          2         2
4-60192040152             17          8        17
4-79167494203              1          1         1
4-278291089507             1          1         0
4-14054729365              1          0         1
4-66942500134              7          3         3
4-13123149431              4          4         0
4-14054729329              2          1         2
4-14054729193              3          2         2
4-14054729205              3          3         3
4-14054729364              4          3         4
4-861390434003             6          6         3
4-66923016503              1          1         1
4-919811001121             1          0         1
4-491700600139             1          0         0
4-14054729241              3          3         3
4-14054729217              3          3         3
4-34607000424              1          0         0
4-77010002101              3          2         3
4-8190542116801            8          8         0
4-46705003206              2          1         0
4-447802000243             4          4         3
4-919840011921             1          1         1
4-8190542113818            6          4         0
4-886936000038             1          0         1
4-16363848254              2          1         0
4-628184429906            29         21        29
4-33689005211              4          0         4
4-436990071214             1          1         1
4-34607000170              3          0         3
4-14054729319              5          3         5
4-61415011018              2          1         0
4-971504063493             5          2         5
4-491760003013             2          2         0
4-33689002871              1          1         1
4-491760003010             1          1         0
4-861845232000             2          2         1
4-8613444350243            3          3         2
4-639180009001             3          2         1
4-8190542116810            1          1         0
4-639180009002             3          2         0
4-14054729200              1          1         1
4-919820705483             1          0         1
4-886935420615             6          5         6
4-13123149426              1          1         0
4-447953700208             1          0         0
4-12085979018              2          2         0
4-852645021000108         10          7        10
4-491760003021             2          1         2
4-256771100059             1          0         0
4-886932489005             2          1         2
4-639180009011             2          2         0
4-12404492577              4          4         0
4-491700600136             1          1         0
4-491760003008             2          1         2
4-886935420650             6          4         5
4-385910926                1          1         0
4-14054729325              2          0         2
4-34690550020              1          1         1
4-3725098023               1          1         0
4-14047259887              4          4         0
4-819066519751             1          1         0
4-393492001957             3          2         0
4-447953700257             2          2         2
4-9477000196               4          1         4
4-8613475220000          153        145        72
4-79639741141              1          1         0
4-491700600108             2          0         0
4-14054729242              1          0         1
4-33689005212              2          1         2
4-316540941178             4          2         4
4-420602080964             1          1         0
4-639180008987             3          2         0
4-819066519754            14          9         0
4-447953700227             1          1         1
4-14054729344              2          2         1
4-886932489004             2          1         2
4-919845286068             7          5         4
4-14054729314              4          3         4
4-14054729229              2          2         2
4-639180009013             1          1         0
4-33660005100              9          4         9
4-212640890303             1          1         1
4-447953700217             1          1         1
4-491760003001             2          2         1
4-491700600116             1          0         0
4-4367603033000            1          0         0
4-351930000802            16          4         0
4-278291089512             1          1         1
4-919849005532             3          3         3
4-66938012011              1          1         0
4-14054729367              3          3         3
4-8615903400008            2          2         1
4-40722000300              1          1         0
4-14054729238              4          4         4
4-12085978979              3          3         0
4-491700600154             1          0         0
4-32486000009              3          1         0
4-447802000242             5          5         3
4-447953700248             2          0         2
4-447802000257             7          6         7
4-12085978936              5          5         0
4-905429800691             1          1         0
4-12404492591              4          3         0
4-33689002867              1          0         1
4-38050000301              3          3         2
4-46707000041              3          3         3
4-491700600142             1          0         0
4-84900100                 1          1         0
4-79262004557              3          3         0
4-85290184000              7          5         7
4-491700600149             1          0         0
4-14054729312              3          1         3
4-491700600135             2          0         0
4-14054729209              1          1         1
4-14054729353              2          0         2
4-447953700261             2          2         2
4-491700600121             1          0         0
4-14047259638              1          1         0
4-352091000110             1          1         1
4-51981500010              1          1         0
4-85512000077              2          1         2
4-861514420008             2          2         0
4-886973848920             6          6         6
4-16363848255              1          1         0
4-64277435103              2          2         0
4-447802000230             3          3         2
4-85290276747              1          1         1
4-919894000048             2          1         2
4-639180008993             2          0         0
4-33609009099              4          2         0
4-46705003201              1          1         0
4-79112009901              1          1         1
4-447953700265             1          0         1
4-447953700207             1          1         1
4-97254120634             12          3        12
4-639180008989             4          4         1
4-14054729207              4          2         4
4-34609090011              1          0         0
4-14054729343              1          1         1
4-14054729345              4          4         4
4-491760003019             2          1         0
4-447802000228             1          1         1
4-491700600141             1          0         0
4-8190542113806            5          3         0
4-639180008988             1          1         0
4-261340010203             2          1         2
4-525512235210             2          1         2
4-34607000360              3          1         0
4-886935420645             8          8         8
4-447802000232             4          3         4
4-12085978017              3          2         0
4-2348050001018            1          0         1
4-420733087404             1          0         0
4-31653099510              1          1         1
4-852645021000106          3          2         3
4-491700600303             1          1         0
4-34607000180              1          0         0
4-491700600166             1          1         0
4-61418703215              1          1         1
4-639180009008             2          2         2
4-5294100071020            1          0         0
4-14054729233              4          4         4
4-7921960096422            3          3         0
4-9613488800               2          1         1
4-8190542116808            2          0         0
4-447953700239             1          1         1
4-14054729191              2          1         2
4-919898092806             1          1         1
4-41789310340              1          1         0
4-8615035320002            2          2         1
4-9779800000052            1          1         1
4-447953700259             1          1         1
4-79167494206              1          1         0
4-79242000681              1          1         0
4-14054729318              2          2         2
4-34656000117              1          0         1
4-2302500024               2          0         0
4-8614765990000           75         63         0
4-628964001091             1          0         0
4-37069899882              1          1         0
4-447802000252             6          4         6
4-79772539012              3          1         3
4-886936000233             2          2         2
4-8190542119808            1          1         0
4-79167494204              1          1         1
4-79270009737              1          1         0
4-8190542119807            1          1         0
4-447953700209             1          1         1
4-278291089506             2          2         0
4-491760003007             2          1         1
4-861390434008             1          1         0
4-14054729230              3          2         3
4-34609093003              1          1         0
4-14054729363              5          3         3
4-16363848256              1          1         0
4-8190542113814            3          2         0
4-14054729219              8          5         7
4-14054729239              2          2         2
4-919820705569             1          1         1
4-14054729201              4          4         4
4-380630010110             3          0         0
4-34656000127              3          2         3
4-491720097696             1          1         0
4-491700600107             1          0         0
4-8613720930001            2          2         1
4-86184211729             21         20         2
4-34656000138              2          1         1
4-8491020308               3          2         2
4-351911390170             1          1         0
4-491700600126             4          0         0
4-491720096596             2          2         0
4-66923013522              1          1         1
4-14054729341              3          3         3
4-491760003025             1          0         1
4-13123149425              1          0         0
4-14054729348              1          1         1
4-491760003015             2          2         2
4-9595930011               1          0         1
4-14054729311              4          3         3
4-491760003029             2          0         1
4-85263347880              6          4         6
4-4792001044               1          0         0
4-886935420605             1          1         1
4-86184211730             44         44         1
4-12404492588              2          1         0
4-491700600104             3          0         0
4-60120000271             10          5        10
4-18098599905              1          0         1
4-8190542113807            6          5         0
4-8615034520008            2          2         1
4-14054729338              1          1         1
4-14054729328              2          2         2
4-33689002866              1          1         1
4-79219600010              1          0         1
4-66923014502              2          1         2
4-32475002533              3          2         3
4-14054729322              1          1         1
4-4366401164               1          1         0
4-34656000116              3          2         2
4-8615000033            2686       2562       360
4-14054729357              4          1         4
4-14054729212              2          1         2
4-886935420648             7          5         7
4-8615034640008            1          1         1
4-14054729208              4          3         3
4-14054729206              2          1         1
4-447802000255             7          6         4
4-4366401162               1          0         0
4-4528133316               1          1         0
4-861374427686             5          4         0
4-8615035320001            2          2         0
4-491700600165             1          0         0
4-14054729361              5          3         4
4-8613444350443            5          5         5
4-8615203400008            4          4         3
4-573103804452             1          0         0
4-41794992015              4          4         2
4-491760003009             2          1         1
4-233200001023             2          1         2
4-31624000285              1          1         1
4-8190542112802            2          2         0
4-447953700256             1          1         1
4-491700600122             3          1         0
4-14054729350              1          1         1
4-14054729248              2          2         2
4-14054729190              1          1         1
4-14054729195              3          3         2
4-14054729225              4          4         4
4-85368989852              3          3         2
4-380672059999             2          2         0
4-5294100002010            1          0         1
4-14054729244              2          1         2
4-8190542113811            5          5         0
4-393358840411753          1          0         1
4-639180009015             1          1         1
4-447953700205             1          1         1
4-14054729352              3          2         3
4-14054729313              4          4         4
4-447953700270             1          1         1
4-86184211723             25         22         1
4-86184211727             37         36         3
4-86184211733             33         32         1
4-86184211726             30         29         6
4-86184211732             39         39         1
4-86184211731             33         32         1
4-86184211725             38         38         3
4-86184211724             21         21         2
4-86184211728             31         30         0
4-86184211722             52         51         6
4-34656000128              1          1         1
4-491720097796             1          1         0
4-8613444350131            6          6         5
4-14054729337              5          5         4
4-491700600102             3          2         0
4-31624000286              2          1         2

TOTNSUB
656682

TOTNSUBA
608155

NSUBPR
0

NSUBXP
0

NSUBGS
0

NSUBSGS
417241

END
<exit;

Disconnected from MSC59
hxwsj@gmshmas3o> eaw MSC60;
<!collect IOT_subscriber!
<!display MSC's MT MOBILE SUBSCRIBER!
<ioexp;
EXCHANGE IDENTITY DATA

IDENTITY
SHG60CN79C/KD/00/03/03

END


<mgsvp;
MT MOBILE SUBSCRIBER SURVEY

HLRADDR             NSUB       NSUBA      NSUBOCSI
4-8615102128            2872       2764       378
4-8613524522            3666       3571       482
4-8615102122            2728       2636       318
4-8613524528            3614       3522       469
4-8613512132            4218       4080       528
4-8613621624            3415       3316       486
4-8613524525            3681       3575       475
4-8615102124            2874       2778       352
4-8615000028            2837       2733       370
4-8615000031            2804       2710       347
4-8615221026            2782       2679       366
4-8615202125            2915       2822       328
4-8615221030            2852       2749       343
4-8615102127            2752       2664       307
4-8615000032            2797       2711       365
4-8615000033            2763       2677       333
4-8613564827            4072       3941       519
4-8615102123            2836       2746       341
4-8613621628            3378       3273       504
4-8613524529            3628       3526       437
4-8613512123            4342       4208       598
4-8615221027            2751       2655       326
4-8615221031            2773       2693       359
4-8615202127            2858       2753       347
4-8613512133            4369       4254       604
4-8615221032            2757       2669       375
4-8615000027            2763       2674       321
4-8613512127            4248       4107       568
4-8613524523            3525       3420       498
4-8613524533            3563       3463       447
4-8613512128            4264       4119       613
4-8615202123            2916       2817       302
4-8613564823            4111       3988       519
4-8615202131            2925       2816       334
4-8613621626            3452       3350       529
4-8613564821            3894       3757       525
4-8615221024            2731       2625       348
4-8613564826            4062       3912       529
4-8613524524            3460       3364       435
4-8613512131            4213       4084       620
4-8613512130            4199       4053       610
4-8615000024            2861       2752       369
4-8615221023            2799       2714       387
4-8613512125            4348       4206       615
4-8613524531            3484       3376       447
4-8613512122            4376       4262       622
4-8615221033            2862       2768       361
4-8613564831            4224       4097       551
4-8615221029            2730       2650       350
4-8613564824            3982       3839       510
4-8615202130            2831       2733       357
4-8613621630            3398       3298       479
4-8615000030            2792       2720       347
4-8613621629            3374       3273       453
4-8613524526            3576       3470       492
4-8613512129            4366       4246       620
4-8615202126            2810       2717       295
4-8613621631            3361       3264       487
4-8615000029            2725       2633       342
4-8615202124            2959       2862       336
4-8615102132            2782       2685       336
4-8613621623            3300       3198       451
4-8615202129            2869       2774       339
4-8615000025            2795       2697       375
4-8615102126            2773       2676       349
4-8613524530            3624       3534       490
4-8615102130            2879       2784       345
4-8615202132            2864       2762       311
4-8613621625            3397       3280       474
4-8614765120000        23738      11761      1389
4-8614765000000        23429      14201       119
4-8615102133            2758       2663       350
4-8615221022            2775       2678       348
4-8613512124            4148       4032       574
4-8615000022            2777       2687       342
4-8613564830            4137       3980       537
4-861390563000           513        493       348
4-8615000023            2719       2628       312
4-8615102131            2828       2739       325
4-8613564828            3957       3816       526
4-8613621633            3372       3269       492
4-8615202128            2871       2774       344
4-8613564829            4009       3904       540
4-8613564822            4074       3957       499
4-8613621622            3343       3256       463
4-861471512000           157        146       134
4-8613512126            4302       4190       606
4-861577112000           413        402       113
4-861820571000           869        834       451
4-861471677000            84         82        68
4-861390564000          1527       1491      1030
4-8613564832            4050       3927       508
4-8613564825            4123       3993       538
4-8613524532            3594       3494       451
4-8615202122            2924       2820       338
4-8613444350434           81         79        58
4-8618338457000          168        161        27
